NAME,UMAP 1,UMAP 2,UMAP 3,UMAP 4,UMAP 5,UMAP 6,UMAP 7,UMAP 8,UMAP 9,UMAP 10,SMILES
ligand0,10.347037,8.881187,7.7053714,5.947588,5.8316455,3.4877963,5.8464384,2.9968653,4.539128,4.3681607,CC(=O)CC(=O)C1=CC(=NC=C1)Cl
ligand1,11.046104,10.723111,6.1987667,6.365981,5.6606655,4.315881,5.216892,4.7042785,4.8533344,3.580019,CC(C(=O)CC(=O)C)OC
ligand10,13.7290125,2.300854,5.9779596,4.7224436,1.1409073,5.815715,4.0652623,1.9351251,7.890476,8.463156,C1CCC(=NN=C2C(C(=O)C3=CC=CC=C32)C(=O)C(C4=CC=CC=C4)C5=CC=CC=C5)CC1
ligand100,10.729501,10.1983185,6.924612,6.5723615,5.55052,4.0516376,5.568182,4.2662497,4.55791,3.6035788,CC1=CC(=C(C(=C1)C)C(=O)CC(=O)C2=C(C=C(C=C2C)C)C)C
ligand101,6.9769464,6.03529,4.6122513,4.9423866,5.057804,3.3794985,6.180867,3.4435647,4.1612067,3.168054,C1=CC=NC(=C1)C(=O)CC(=O)C2=CC=CC=N2
ligand102,7.444636,5.1184,4.05622,3.698085,2.7517505,2.9938748,4.043764,3.772944,4.0898595,2.7987297,C1=CC(=CC=C1C(=O)CC(=O)C(F)(F)F)C(F)(F)F
ligand103,10.381492,9.131887,7.8027434,5.968881,5.9005585,3.5193756,6.0052295,2.958431,4.499297,4.412803,CC(=O)CC(=O)C1=CC=C(C=C1)C(F)(F)F
ligand104,6.9025464,4.778479,4.820991,4.9163275,4.849434,3.5421786,5.9526057,2.7645547,5.0393434,3.9147348,C1=CC(=CC=C1C(=O)CC(=O)C(F)F)C(F)(F)F
ligand105,14.97409,2.1399088,6.473182,4.3711653,1.8402915,5.910903,3.0876129,2.0686595,8.63618,7.7166986,CCCCCC(=O)C(C)C(=O)C
ligand106,15.163601,2.5232008,6.399971,4.616434,1.7999166,6.001231,3.4375684,1.7937878,8.566287,7.5944557,CC(=O)C(CCC(=O)OC)C(=O)C
ligand107,10.345546,9.424445,7.459615,6.1697884,5.9079766,3.6105106,5.841636,2.9115207,4.3957667,3.9988136,CC(=O)CC(=O)C1=CN=CC=C1
ligand108,7.127748,4.7534556,4.811088,4.7505064,5.6638823,3.6377568,6.5945354,2.3313487,5.4129496,3.588598,COC(=O)C(=O)CC(=O)C1=CC=C(C=C1)F
ligand109,7.218675,4.488072,4.8416514,4.885859,5.0378876,3.6858578,5.983359,2.3087661,5.363279,3.9607825,CCOC(=O)C(=O)CC(=O)C1=CC=C(C=C1)C(F)(F)F
ligand11,15.07326,2.1335907,6.2424755,4.5503936,1.6171001,5.909269,3.3213112,2.0154262,8.330059,7.673505,CC(=O)C(CC1=CC(=CC=C1)C(F)(F)F)C(=O)C
ligand110,14.782161,2.7035577,6.4170027,4.7921677,1.6969806,5.8967104,3.6565301,1.924322,8.41349,7.835283,CC(=O)C1CN(CCC1=O)C(=O)OC(C)(C)C
ligand111,10.387822,9.205497,7.5953126,6.053847,5.893669,3.5031328,5.785057,2.9416533,4.47682,4.110862,CC(=O)CC(=O)C1=CC=NC=C1
ligand112,7.448681,5.1242633,4.112353,3.7755766,2.7417521,3.0218318,4.000222,3.775903,4.085922,2.8198307,C1=CC(=CC=C1C(=O)CC(=O)C(F)(F)F)[N+](=O)[O-]
ligand113,10.366955,9.616403,7.4026284,6.4281845,5.7925777,3.7389462,5.775964,2.6687698,4.3005896,3.8007052,CC(=O)CC(=O)C1=CC=CO1
ligand114,15.016458,2.2738228,6.570004,4.452392,1.8344539,5.9129167,3.086147,2.1704588,8.565905,7.727312,CCC(=O)C(C)C(=O)CC
ligand115,9.084147,7.058716,6.226491,5.512095,4.608215,3.869376,5.5454407,2.459404,4.685838,4.14017,CCOC(=O)C(=O)CC(=O)CC(C)C
ligand116,11.730753,8.425885,8.601451,8.016623,4.4329395,4.761058,6.5840197,3.8074079,4.6073995,4.5326314,C1=CC(=CN=C1)C(=O)CC(=O)C2=CN=CC=C2
ligand117,11.121908,11.240838,5.9287286,6.468488,5.6125646,4.397099,5.1767855,5.298912,4.8101916,3.4804394,C1CC1C(=O)CC(=O)C2CC2
ligand118,15.096982,2.5849047,6.541061,4.6095757,1.9909798,6.0227737,3.328954,1.7376939,8.661442,7.543562,CC(=O)CCC(C(=O)C)C(=O)C
ligand119,6.3018265,5.631198,4.6123443,4.956244,4.772663,3.2497091,6.1196136,3.646636,4.0555334,3.5050633,COC1=C(C=C(C=C1)C(=O)CC(=O)C(F)F)F
ligand12,8.863525,5.640946,5.7164783,5.0916815,3.0207326,3.7702053,4.706065,2.964561,4.4113164,3.5438664,COC(=O)C(=O)CC(=O)C1=CC(=C(C=C1Cl)Cl)F
ligand120,7.631548,5.648063,4.089037,4.0473332,3.0840714,3.182478,4.2818723,3.4720726,4.005696,2.7052467,C1=CC=NC(=C1)C(=O)CC(=O)C(F)(F)F
ligand121,7.5675774,5.4097004,4.0414925,3.8727674,2.8735392,3.120584,4.16365,3.6226504,4.017463,2.724241,C1=CC(=CC(=C1)C(F)(F)F)C(=O)CC(=O)C(F)(F)F
ligand122,10.415296,9.720975,7.6336637,6.637137,5.8766737,4.1076565,6.51928,3.0676436,4.1904016,4.294515,CC(C)C(=O)CC(=O)C1=CC=C(C=C1)F
ligand123,7.314147,5.2235193,4.0046344,3.8176436,3.1001713,3.143929,4.3984046,3.6111658,4.1460276,2.7747395,C1=CC(=CN=C1)C(=O)CC(=O)C(F)(F)F
